Sport_ID,Sport
652,Swimming Men's 400 metres Individual Medley
653,Swimming Men's 440 Yard Breaststroke
654,Swimming Men's 440 yard Freestyle
655,Swimming Men's 50 metres Freestyle
656,Swimming Men's 50 yard Freestyle
657,Swimming Men's 500 metres Freestyle
658,Swimming Men's 880 yard Freestyle
659,Swimming Men's One Mile Freestyle
660,Swimming Men's Plunge For Distance
661,Swimming Men's Underwater Swimming
662,Swimming Women's 10 kilometres Open Water
663,Swimming Women's 100 metres Backstroke
664,Swimming Women's 100 metres Breaststroke
665,Swimming Women's 100 metres Butterfly
666,Swimming Women's 100 metres Freestyle
667,Swimming Women's 200 metres Backstroke
668,Swimming Women's 200 metres Breaststroke
669,Swimming Women's 200 metres Butterfly
670,Swimming Women's 200 metres Freestyle
671,Swimming Women's 200 metres Individual Medley
672,Swimming Women's 300 metres Freestyle
673,Swimming Women's 4 x 100 metres Freestyle Relay
674,Swimming Women's 4 x 100 metres Medley Relay
675,Swimming Women's 4 x 200 metres Freestyle Relay
676,Swimming Women's 400 metres Freestyle
677,Swimming Women's 400 metres Individual Medley
678,Swimming Women's 50 metres Freestyle
679,Swimming Women's 800 metres Freestyle
680,Synchronized Swimming Women's Duet
681,Synchronized Swimming Women's Solo
682,Synchronized Swimming Women's Team
683,Table Tennis Men's Doubles
684,Table Tennis Men's Singles
685,Table Tennis Men's Team
686,Table Tennis Women's Doubles
687,Table Tennis Women's Singles
688,Table Tennis Women's Team
689,Taekwondo Men's Featherweight
690,Taekwondo Men's Flyweight
691,Taekwondo Men's Heavyweight
692,Taekwondo Men's Welterweight
693,Taekwondo Women's Featherweight
694,Taekwondo Women's Flyweight
695,Taekwondo Women's Heavyweight
696,Taekwondo Women's Welterweight
697,Tennis Men's Doubles
698,"Tennis Men's Doubles, Covered Courts"
699,Tennis Men's Singles
700,"Tennis Men's Singles, Covered Courts"
701,Tennis Mixed Doubles
702,"Tennis Mixed Doubles, Covered Courts"
703,Tennis Women's Doubles
704,Tennis Women's Singles
705,"Tennis Women's Singles, Covered Courts"
706,Trampolining Men's Individual
707,Trampolining Women's Individual
708,Triathlon Men's Olympic Distance
709,Triathlon Women's Olympic Distance
710,Tug-Of-War Men's Tug-Of-War
711,Volleyball Men's Volleyball
712,Volleyball Women's Volleyball
713,Water Polo Men's Water Polo
714,Water Polo Women's Water Polo
715,Weightlifting Men's All-Around Dumbbell Contest
716,Weightlifting Men's Bantamweight
717,Weightlifting Men's Featherweight
718,Weightlifting Men's Flyweight
719,Weightlifting Men's Heavyweight
720,Weightlifting Men's Heavyweight I
721,Weightlifting Men's Heavyweight II
722,Weightlifting Men's Light-Heavyweight
723,Weightlifting Men's Lightweight
724,Weightlifting Men's Middle-Heavyweight
725,Weightlifting Men's Middleweight
726,Weightlifting Men's Super-Heavyweight
727,"Weightlifting Men's Unlimited, One Hand"
728,"Weightlifting Men's Unlimited, Two Hands"
729,Weightlifting Women's Featherweight
730,Weightlifting Women's Flyweight
731,Weightlifting Women's Heavyweight
732,Weightlifting Women's Light-Heavyweight
733,Weightlifting Women's Lightweight
734,Weightlifting Women's Middleweight
735,Weightlifting Women's Super-Heavyweight
736,"Wrestling Men's All-Around, Greco-Roman"
737,"Wrestling Men's Bantamweight, Freestyle"
738,"Wrestling Men's Bantamweight, Greco-Roman"
739,"Wrestling Men's Featherweight, Freestyle"
740,"Wrestling Men's Featherweight, Greco-Roman"
741,"Wrestling Men's Flyweight, Freestyle"
742,"Wrestling Men's Flyweight, Greco-Roman"
743,"Wrestling Men's Heavyweight, Freestyle"
744,"Wrestling Men's Heavyweight, Greco-Roman"
745,"Wrestling Men's Light-Flyweight, Freestyle"
746,"Wrestling Men's Light-Flyweight, Greco-Roman"
747,"Wrestling Men's Light-Heavyweight, Freestyle"
748,"Wrestling Men's Light-Heavyweight, Greco-Roman"
749,"Wrestling Men's Lightweight, Freestyle"
750,"Wrestling Men's Lightweight, Greco-Roman"
751,"Wrestling Men's Middleweight A, Greco-Roman"
752,"Wrestling Men's Middleweight B, Greco-Roman"
753,"Wrestling Men's Middleweight, Freestyle"
754,"Wrestling Men's Middleweight, Greco-Roman"
755,"Wrestling Men's Super-Heavyweight, Freestyle"
756,"Wrestling Men's Super-Heavyweight, Greco-Roman"
757,"Wrestling Men's Unlimited Class, Greco-Roman"
758,"Wrestling Men's Welterweight, Freestyle"
759,"Wrestling Men's Welterweight, Greco-Roman"
760,"Wrestling Women's Featherweight, Freestyle"
761,"Wrestling Women's Flyweight, Freestyle"
762,"Wrestling Women's Heavyweight, Freestyle"
763,"Wrestling Women's Light-Heavyweight, Freestyle"
764,"Wrestling Women's Lightweight, Freestyle"
765,"Wrestling Women's Middleweight, Freestyle"
