Sport_ID,Sport
161,Basketball Women's Basketball
162,Basque Pelota Men's Two-Man Teams With Cesta
163,Beach Volleyball Men's Beach Volleyball
164,Beach Volleyball Women's Beach Volleyball
165,Biathlon Men's 10 kilometres Sprint
166,Biathlon Men's 12.5 kilometres Pursuit
167,Biathlon Men's 15 kilometres Mass Start
168,Biathlon Men's 20 kilometres
169,Biathlon Men's 4 x 7.5 kilometres Relay
170,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
171,Biathlon Women's 10 kilometres Pursuit
172,Biathlon Women's 12.5 kilometres Mass Start
173,Biathlon Women's 15 kilometres
174,Biathlon Women's 3 x 7.5 kilometres Relay
175,Biathlon Women's 4 x 6 kilometres Relay
176,Biathlon Women's 4 x 7.5 kilometres Relay
177,Biathlon Women's 7.5 kilometres Sprint
178,Bobsleigh Men's Four
179,Bobsleigh Men's Four/Five
180,Bobsleigh Men's Two
181,Bobsleigh Women's Two
182,Boxing Men's Bantamweight
183,Boxing Men's Featherweight
184,Boxing Men's Flyweight
185,Boxing Men's Heavyweight
186,Boxing Men's Light-Flyweight
187,Boxing Men's Light-Heavyweight
188,Boxing Men's Light-Middleweight
189,Boxing Men's Light-Welterweight
190,Boxing Men's Lightweight
191,Boxing Men's Middleweight
192,Boxing Men's Super-Heavyweight
193,Boxing Men's Welterweight
194,Boxing Women's Flyweight
195,Boxing Women's Lightweight
196,Boxing Women's Middleweight
197,"Canoeing Men's Canadian Doubles, 1,000 metres"
198,"Canoeing Men's Canadian Doubles, 10,000 metres"
199,"Canoeing Men's Canadian Doubles, 500 metres"
200,"Canoeing Men's Canadian Doubles, Slalom"
201,"Canoeing Men's Canadian Singles, 1,000 metres"
202,"Canoeing Men's Canadian Singles, 10,000 metres"
203,"Canoeing Men's Canadian Singles, 200 metres"
204,"Canoeing Men's Canadian Singles, 500 metres"
205,"Canoeing Men's Canadian Singles, Slalom"
206,"Canoeing Men's Folding Kayak Doubles, 10 kilometres"
207,"Canoeing Men's Folding Kayak Singles, 10 kilometres"
208,"Canoeing Men's Kayak Doubles, 1,000 metres"
209,"Canoeing Men's Kayak Doubles, 10,000 metres"
210,"Canoeing Men's Kayak Doubles, 200 metres"
211,"Canoeing Men's Kayak Doubles, 500 metres"
212,"Canoeing Men's Kayak Fours, 1,000 metres"
213,Canoeing Men's Kayak Relay 4 x 500 metres
214,"Canoeing Men's Kayak Singles, 1,000 metres"
215,"Canoeing Men's Kayak Singles, 10,000 metres"
216,"Canoeing Men's Kayak Singles, 200 metres"
217,"Canoeing Men's Kayak Singles, 500 metres"
218,"Canoeing Men's Kayak Singles, Slalom"
219,"Canoeing Women's Kayak Doubles, 500 metres"
220,"Canoeing Women's Kayak Fours, 500 metres"
221,"Canoeing Women's Kayak Singles, 200 metres"
222,"Canoeing Women's Kayak Singles, 500 metres"
223,"Canoeing Women's Kayak Singles, Slalom"
224,Cricket Men's Cricket
225,Croquet Mixed Doubles
226,"Croquet Mixed Singles, One Ball"
227,"Croquet Mixed Singles, Two Balls"
228,Cross Country Skiing Men's 10 kilometres
229,Cross Country Skiing Men's 10/10 kilometres Pursuit
230,Cross Country Skiing Men's 10/15 kilometres Pursuit
231,Cross Country Skiing Men's 15 kilometres
232,Cross Country Skiing Men's 18 kilometres
233,Cross Country Skiing Men's 30 kilometres
234,Cross Country Skiing Men's 30 km Skiathlon
235,Cross Country Skiing Men's 4 x 10 kilometres Relay
236,Cross Country Skiing Men's 50 kilometres
237,Cross Country Skiing Men's Sprint
238,Cross Country Skiing Men's Team Sprint
239,Cross Country Skiing Women's 10 kilometres
240,Cross Country Skiing Women's 15 kilometres
241,Cross Country Skiing Women's 15 km Skiathlon
242,Cross Country Skiing Women's 20 kilometres
243,Cross Country Skiing Women's 3 x 5 kilometres Relay
244,Cross Country Skiing Women's 30 kilometres
245,Cross Country Skiing Women's 4 x 5 kilometres Relay
246,Cross Country Skiing Women's 5 kilometres
247,Cross Country Skiing Women's 5/10 kilometres Pursuit
248,Cross Country Skiing Women's 5/5 kilometres Pursuit
249,Cross Country Skiing Women's Sprint
250,Cross Country Skiing Women's Team Sprint
251,Curling Men's Curling
252,Curling Women's Curling
253,Cycling Men's 1 mile
254,"Cycling Men's 1,000 metres Time Trial"
255,Cycling Men's 1/2 mile
256,Cycling Men's 1/3 mile
257,Cycling Men's 1/4 mile
258,"Cycling Men's 10,000 metres"
259,Cycling Men's 100 kilometres
260,Cycling Men's 100 kilometres Team Time Trial
261,Cycling Men's 12-Hours Race
262,Cycling Men's 2 mile
263,Cycling Men's 20 kilometres
264,Cycling Men's 25 kilometres
265,Cycling Men's 25 mile
266,Cycling Men's 333 metres Time Trial
267,Cycling Men's 5 mile
268,"Cycling Men's 5,000 metres"
269,Cycling Men's 50 kilometres
270,Cycling Men's BMX
271,"Cycling Men's Individual Pursuit, 4,000 metres"
272,Cycling Men's Individual Time Trial
273,Cycling Men's Keirin
274,Cycling Men's Madison
275,"Cycling Men's Mountainbike, Cross-Country"
276,Cycling Men's Omnium
277,Cycling Men's Points Race
278,"Cycling Men's Road Race, Individual"
279,"Cycling Men's Road Race, Team"
280,Cycling Men's Sprint
281,"Cycling Men's Tandem Sprint, 2,000 metres"
282,"Cycling Men's Team Pursuit, 1,980 yards"
283,"Cycling Men's Team Pursuit, 4,000 metres"
284,Cycling Men's Team Sprint
285,Cycling Women's 500 metres Time Trial
286,Cycling Women's BMX
287,"Cycling Women's Individual Pursuit, 3,000 metres"
288,Cycling Women's Individual Time Trial
289,Cycling Women's Keirin
290,"Cycling Women's Mountainbike, Cross-Country"
291,Cycling Women's Omnium
292,Cycling Women's Points Race
293,"Cycling Women's Road Race, Individual"
294,Cycling Women's Sprint
295,Cycling Women's Team Pursuit
296,Cycling Women's Team Sprint
297,Diving Men's Plain High
298,Diving Men's Platform
299,Diving Men's Springboard
300,Diving Men's Synchronized Platform
301,Diving Men's Synchronized Springboard
302,Diving Women's Plain High
303,Diving Women's Platform
304,Diving Women's Springboard
305,Diving Women's Synchronized Platform
306,Diving Women's Synchronized Springboard
307,"Equestrianism Men's Dressage, Individual"
308,"Equestrianism Men's Dressage, Team"
309,"Equestrianism Men's Jumping, Individual"
310,"Equestrianism Men's Jumping, Team"
311,"Equestrianism Men's Three-Day Event, Individual"
312,"Equestrianism Men's Three-Day Event, Team"
313,"Equestrianism Men's Vaulting, Individual"
314,"Equestrianism Men's Vaulting, Team"
315,"Equestrianism Mixed Dressage, Individual"
316,"Equestrianism Mixed Dressage, Team"
317,Equestrianism Mixed Four-In-Hand Competition
318,Equestrianism Mixed Hacks And Hunter Combined
319,Equestrianism Mixed High Jump
320,"Equestrianism Mixed Jumping, Individual"
321,"Equestrianism Mixed Jumping, Team"
322,Equestrianism Mixed Long Jump
323,"Equestrianism Mixed Three-Day Event, Individual"
324,"Equestrianism Mixed Three-Day Event, Team"
325,"Fencing Men's Foil, Individual"
326,"Fencing Men's Foil, Masters, Individual"
327,"Fencing Men's Foil, Team"
328,"Fencing Men's Sabre, Individual"
329,"Fencing Men's Sabre, Individual, Three Hits"
330,"Fencing Men's Sabre, Masters, Individual"
331,"Fencing Men's Sabre, Team"
332,"Fencing Men's Single Sticks, Individual"
333,"Fencing Men's epee, Individual"
334,"Fencing Men's epee, Masters and Amateurs, Individual"
335,"Fencing Men's epee, Masters, Individual"
336,"Fencing Men's epee, Team"
337,"Fencing Women's Foil, Individual"
338,"Fencing Women's Foil, Team"
339,"Fencing Women's Sabre, Individual"
340,"Fencing Women's Sabre, Team"
341,"Fencing Women's epee, Individual"
342,"Fencing Women's epee, Team"
343,Figure Skating Men's Singles
344,Figure Skating Men's Special Figures
345,Figure Skating Mixed Ice Dancing
346,Figure Skating Mixed Pairs
347,Figure Skating Mixed Team
348,Figure Skating Women's Singles
349,Football Men's Football
350,Football Women's Football
351,Freestyle Skiing Men's Aerials
352,Freestyle Skiing Men's Halfpipe
353,Freestyle Skiing Men's Moguls
354,Freestyle Skiing Men's Ski Cross
355,Freestyle Skiing Men's Slopestyle
356,Freestyle Skiing Women's Aerials
357,Freestyle Skiing Women's Halfpipe
358,Freestyle Skiing Women's Moguls
359,Freestyle Skiing Women's Ski Cross
360,Freestyle Skiing Women's Slopestyle
361,Golf Men's Individual
362,Golf Men's Team
363,Golf Women's Individual
364,Gymnastics Men's Club Swinging
365,Gymnastics Men's Floor Exercise
366,Gymnastics Men's Horizontal Bar
367,"Gymnastics Men's Horizontal Bar, Teams"
368,Gymnastics Men's Horse Vault
369,Gymnastics Men's Individual All-Around
370,"Gymnastics Men's Individual All-Around, 4 Events"
371,"Gymnastics Men's Individual All-Around, 5 Events"
372,"Gymnastics Men's Individual All-Around, Apparatus Work"
373,"Gymnastics Men's Individual All-Around, Field Sports"
374,Gymnastics Men's Parallel Bars
375,"Gymnastics Men's Parallel Bars, Teams"
376,Gymnastics Men's Pommelled Horse
377,Gymnastics Men's Rings
378,Gymnastics Men's Rope Climbing
379,Gymnastics Men's Side Horse
380,Gymnastics Men's Team All-Around
381,"Gymnastics Men's Team All-Around, Free System"
382,"Gymnastics Men's Team All-Around, Swedish System"
383,Gymnastics Men's Tumbling
384,Gymnastics Women's Balance Beam
385,Gymnastics Women's Floor Exercise
386,Gymnastics Women's Horse Vault
387,Gymnastics Women's Individual All-Around
388,Gymnastics Women's Team All-Around
389,Gymnastics Women's Team Portable Apparatus
390,Gymnastics Women's Uneven Bars
391,Handball Men's Handball
392,Handball Women's Handball
393,Hockey Men's Hockey
394,Hockey Women's Hockey
395,Ice Hockey Men's Ice Hockey
396,Ice Hockey Women's Ice Hockey
397,Jeu De Paume Men's Singles
398,Judo Men's Extra-Lightweight
399,Judo Men's Half-Heavyweight
400,Judo Men's Half-Lightweight
401,Judo Men's Half-Middleweight
402,Judo Men's Heavyweight
403,Judo Men's Lightweight
404,Judo Men's Middleweight
405,Judo Men's Open Class
406,Judo Women's Extra-Lightweight
407,Judo Women's Half-Heavyweight
408,Judo Women's Half-Lightweight
409,Judo Women's Half-Middleweight
410,Judo Women's Heavyweight
411,Judo Women's Lightweight
412,Judo Women's Middleweight
413,Lacrosse Men's Lacrosse
414,Luge Men's Singles
415,Luge Mixed (Men)'s Doubles
416,Luge Mixed Team Relay
417,Luge Women's Singles
418,Military Ski Patrol Men's Military Ski Patrol
419,Modern Pentathlon Men's Individual
420,Modern Pentathlon Men's Team
421,Modern Pentathlon Women's Individual
